title,date,adj close,volume,diff1_adj_close,target_1day,diff2_adj_close,target_2day,diff3_adj_close,target_3day,diff4_adj_close,target_4day,diff5_adj_close,target_5day,diff6_adj_close,target_6day,diff7_adj_close,target_7day,diff8_adj_close,target_8day,diff9_adj_close,target_9day,diff10_adj_close,target_10day,diff11_adj_close,target_11day,diff12_adj_close,target_12day,diff13_adj_close,target_13day,diff14_adj_close,target_14day
"Kapilitasasi Big Cap Drop, BRI, Telkom, Mandiri & Astra Naik",2020-09-21,7769.282715,3295800.0,-48.5581059999995,0,-72.83740200000102,0,-194.23242199999913,0,-72.83740200000102,0,-97.11669900000106,0,-97.11669900000106,0,-97.11669900000106,0,-24.279296999999133,0,97.11572299999898,1,24.27831999999944,1,0.0,0,72.83691400000043,1,72.83691400000043,1,72.83691400000043,1
Welcome Oktober! Cek Yuk Saham-saham Potensi Cuan Hari Ini,2020-10-01,7793.561035,4384800.0,-24.27831999999944,0,48.558594000000994,1,48.558594000000994,1,48.558594000000994,1,-48.55761699999857,0,-24.27831999999944,0,0.0,0,24.279296999999133,1,-72.83642599999894,0,-72.83642599999894,0,-72.83642599999894,0,-48.55761699999857,0,-97.11572200000046,0,-97.11572200000046,0
"Dirut & Komut Unilever Indonesia Mundur, Ada Apa?",2020-10-02,7769.282715,3689800.0,72.83691400000043,1,72.83691400000043,1,72.83691400000043,1,-24.279296999999133,0,0.0,0,24.27831999999944,1,48.55761699999857,1,-48.5581059999995,0,-48.5581059999995,0,-48.5581059999995,0,-24.279296999999133,0,-72.83740200000102,0,-72.83740200000102,0,0.0,0
"Bakal Jadi Bos Baru Unilever Indonesia, Siapa Ira Noviarti?",2020-10-02,7769.282715,3689800.0,72.83691400000043,1,72.83691400000043,1,72.83691400000043,1,-24.279296999999133,0,0.0,0,24.27831999999944,1,48.55761699999857,1,-48.5581059999995,0,-48.5581059999995,0,-48.5581059999995,0,-24.279296999999133,0,-72.83740200000102,0,-72.83740200000102,0,0.0,0
"Baca 9 Kabar Ini, Buat Referensi Cari Cuan Hari Ini",2020-10-05,7842.119629000001,7906400.0,-97.11621099999957,0,-72.83691400000043,0,-48.558594000000994,0,-24.27929700000186,0,-121.39501999999993,0,-121.39501999999993,0,-121.39501999999993,0,-97.11621099999957,0,-145.67431600000145,0,-145.67431600000145,0,-72.83691400000043,0,-169.9536130000015,0,-169.9536130000015,0,-169.9536130000015,0
"Market Cap Emiten Rontok, 3 Besar Masih BBCA, BBRI & UNVR",2020-10-05,7842.119629000001,7906400.0,-97.11621099999957,0,-72.83691400000043,0,-48.558594000000994,0,-24.27929700000186,0,-121.39501999999993,0,-121.39501999999993,0,-121.39501999999993,0,-97.11621099999957,0,-145.67431600000145,0,-145.67431600000145,0,-72.83691400000043,0,-169.9536130000015,0,-169.9536130000015,0,-169.9536130000015,0
"Saat yang Lain Pesta Pora, 4 Saham LQ45 Malah Diobral Asing!",2020-10-06,7745.003418000001,6818900.0,24.279296999999133,1,48.55761699999857,1,72.8369139999977,1,-24.278809000000365,0,-24.278809000000365,0,-24.278809000000365,0,0.0,0,-48.55810500000189,0,-48.55810500000189,0,24.279296999999133,1,-72.83740200000193,0,-72.83740200000193,0,-72.83740200000193,0,24.279296999999133,1
"Demo Berujung Kerusuhan, IHSG Dibuka Merah & Mulai Galau",2020-10-09,7817.840331999999,4652000.0,-97.11572299999807,0,-97.11572299999807,0,-97.11572299999807,0,-72.8369139999977,0,-121.39501899999959,0,-121.39501899999959,0,-48.55761699999857,0,-145.67431599999964,0,-145.67431599999964,0,-145.67431599999964,0,-48.55761699999857,0,-97.11572299999807,0,-194.23193399999855,0,-121.39501899999959,0
"Demonstrasi Reda, IHSG Sempurna Reli 5 Hari Beruntun.",2020-10-09,7817.840331999999,4652000.0,-97.11572299999807,0,-97.11572299999807,0,-97.11572299999807,0,-72.8369139999977,0,-121.39501899999959,0,-121.39501899999959,0,-48.55761699999857,0,-145.67431599999964,0,-145.67431599999964,0,-145.67431599999964,0,-48.55761699999857,0,-97.11572299999807,0,-194.23193399999855,0,-121.39501899999959,0
"Loncat di Penghujung Acara, IHSG Merah Tipis, Asing Kabur!",2020-10-16,7769.282715,4947200.0,-97.11669900000106,0,-97.11669900000106,0,-97.11669900000106,0,0.0,0,-48.5581059999995,0,-145.67431699999997,0,-72.83740200000102,0,-121.39501999999993,0,-121.39501999999993,0,-121.39501999999993,0,-169.9536130000006,0,-364.18554699999913,0,-364.18554699999913,0,-364.18554699999913,0
"Pandemi, Laba Unilever Indonesia Q3 Susut Jadi Rp 5,4 T",2020-10-22,7623.608398,9883400.0,72.83691499999895,1,24.279297000000042,1,24.279297000000042,1,24.279297000000042,1,-24.279296000000613,0,-218.51122999999916,0,-218.51122999999916,0,-218.51122999999916,0,-218.51122999999916,0,-218.51122999999916,0,-218.51122999999916,0,-24.279296000000613,0,-48.55810499999916,0,48.55761799999891,1
